beta_3y_mthly,change,market_cap,name,one_yr_target_est,pe_ratio,perc_change,price,symbol,volume,volume_3_mth_avg
N/A,-0.06,2.598B,"Switch, Inc.",11.70,120.11,-0.56%,10.69,SWCH,"939,672",1.263M
1.56,-0.06,2.604B,II-VI Incorporated,48.72,24.02,-0.15%,41.08,IIVI,"406,560","725,388"
N/A,+0.08,2.606B,Altair Engineering Inc.,39.60,204.39,+0.22%,36.79,ALTR,"170,679","218,920"
1.01,-1.00,2.619B,"BlackLine, Inc.",53.67,,-2.06%,47.60,BL,"494,779","485,430"
1.77,+0.04,2.719B,"Box, Inc.",24.57,,+0.21%,18.84,BOX,1.964M,2.274M
N/A,+0.27,2.722B,"GreenSky, Inc.",14.17,37.33,+1.80%,15.23,GSKY,"892,350",1.066M
1.12,+0.35,2.79B,"Cirrus Logic, Inc.",44.00,30.82,+0.75%,47.18,CRUS,"490,607","650,059"
0.70,-0.22,2.812B,"Commvault Systems, Inc.",75.00,712.44,-0.36%,61.27,CVLT,"263,890","520,120"
0.83,+0.23,2.856B,Globant S.A.,73.78,55.74,+0.29%,78.60,GLOB,"191,702","212,583"
1.06,0.00,2.866B,Finisar Corporation,24.55,,0.00%,24.31,FNSR,1.393M,1.346M
0.89,-1.60,2.872B,Mimecast Limited,53.38,,-3.26%,47.53,MIME,"538,163","677,112"
N/A,-0.85,2.882B,"PagerDuty, Inc.",N/A,,-2.12%,39.15,PD,"600,770",2.725M
0.46,-0.13,2.893B,Viavi Solutions Inc.,13.90,,-1.01%,12.69,VIAV,1.728M,2.21M
N/A,-0.20,2.905B,"Cloudera, Inc.",18.24,,-1.82%,10.80,CLDR,3.386M,4.484M
1.09,-0.06,2.907B,The Descartes Systems Group Inc,38.74,94.27,-0.16%,37.71,DSGX,"61,969","112,587"
1.74,-0.29,2.941B,"Omnicell, Inc.",79.75,76.75,-0.40%,71.38,OMCL,"448,676","342,603"
1.54,+0.09,2.954B,"Vishay Intertechnology, Inc.",21.00,9.14,+0.44%,20.47,VSH,1.384M,1.221M
0.50,+0.35,2.953B,Yelp Inc.,39.32,58.06,+0.98%,36.00,YELP,"783,161",1.793M
1.60,-0.87,2.958B,Novanta Inc.,81.00,59.11,-1.02%,84.53,NOVT,"144,536","141,696"
1.53,-0.44,2.989B,"Q2 Holdings, Inc.",75.07,,-0.64%,68.59,QTWO,"200,545","337,558"
N/A,-0.23,3B,"Tenable Holdings, Inc.",37.86,,-0.73%,31.18,TENB,"374,034","747,706"
0.61,-0.16,3.079B,"FireEye, Inc.",20.15,,-1.03%,15.41,FEYE,3.178M,3.705M
1.10,+0.35,3.084B,EnerSys,100.00,15.64,+0.49%,71.64,ENS,"221,618","377,329"
1.56,-0.51,3.092B,"Cornerstone OnDemand, Inc.",63.33,,-0.97%,52.32,CSOD,"308,498","443,588"
3.16,-1.28,3.099B,Rogers Corporation,175.00,35.58,-0.76%,167.22,ROG,"169,800","140,811"
1.30,+0.20,3.157B,AVX Corporation,18.00,13.50,+1.08%,18.70,AVX,"304,942","235,798"
0.83,+0.38,3.197B,"Qualys, Inc.",89.23,59.26,+0.47%,81.19,QLYS,"319,381","401,274"
1.24,-0.46,3.234B,"Alarm.com Holdings, Inc.",64.55,156.12,-0.68%,67.13,ALRM,"232,005","496,138"
1.58,+0.55,3.259B,"Mercury Systems, Inc.",60.88,94.72,+0.82%,67.25,MRCY,"152,648","335,075"
0.50,+0.37,3.39B,"Energizer Holdings, Inc.",55.09,28.64,+0.77%,48.51,ENR,"310,067","739,688"
0.51,+0.69,3.386B,"Energizer Holdings, Inc.",N/A,60.95,+0.67%,103.25,ENR-PA,"8,803","11,344"
1.30,+0.49,3.397B,"Envestnet, Inc.",71.00,580.58,+0.71%,69.67,ENV,"211,846","275,393"
1.57,0.00,3.469B,"Ellie Mae, Inc.",98.23,157.13,0.00%,98.99,ELLI,3.116M,1.549M
N/A,-0.14,3.513B,Perspecta Inc.,26.00,28.79,-0.64%,21.74,PRSP,"623,056","742,040"
1.58,+0.21,3.52B,NCR Corporation,34.83,,+0.71%,29.59,NCR,"396,848","848,454"
1.74,-1.74,3.534B,"2U, Inc.",89.15,,-2.80%,60.45,TWOU,"815,634","581,159"
